[2025-05-17 22:22:38.851] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=991.191 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:39.851] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1001.961 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:40.851] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=968.375 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:41.851] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=930.828 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:42.853] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=919.316 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:43.853] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=898.137 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:44.853] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=882.605 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:45.853] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=847.945 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:46.853] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=837.594 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:47.853] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=853.082 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:48.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=842.266 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:49.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=815.312 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:50.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=938.434 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:51.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=978.977 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:52.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=970.465 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:53.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=984.816 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:54.854] [monitor] [critical] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=963.164 MB, proc_mem_usage=-0.000 MB
